grupo,programa,periodo,semestre,modalidad,sede,peama,sede_oferta,programa_original_crudo,puntaje,cupos,fuente,ord
Bogotá,Administración de Empresas,2007-1,I,Regular,Bogotá,,,Administración de Empresas,620.0,56,base_bogota_corregida,4014
Bogotá,Administración de Empresas,2007-2,II,Regular,Bogotá,,,Administración de Empresas,634.0,54,base_bogota_corregida,4015
Bogotá,Administración de Empresas,2008-1,I,Regular,Bogotá,,,Administración de Empresas,667.0,54,base_bogota_corregida,4016
Bogotá,Administración de Empresas,2008-2,II,Regular,Bogotá,,,Administración de Empresas,623.0326,56,base_bogota_corregida,4017
Bogotá,Administración de Empresas,2009-1,I,Regular,Bogotá,,,Administración de Empresas,657.79,56,base_bogota_corregida,4018
Bogotá,Administración de Empresas,2009-2,II,Regular,Bogotá,,,Administración de Empresas,608.6444,62,base_bogota_corregida,4019
Bogotá,Administración de Empresas,2010-1,I,Regular,Bogotá,,,Administración de Empresas,633.5622,90,base_bogota_corregida,4020
Bogotá,Administración de Empresas,2010-2,II,Regular,Bogotá,,,Administración de Empresas,611.7623,90,base_bogota_corregida,4021
Bogotá,Administración de Empresas,2011-1,I,Regular,Bogotá,,,Administración de Empresas,640.2796,90,base_bogota_corregida,4022
Bogotá,Administración de Empresas,2011-2,II,Regular,Bogotá,,,Administración de Empresas,623.6161,67,base_bogota_corregida,4023
Bogotá,Administración de Empresas,2012-1,I,Regular,Bogotá,,,Administración de Empresas,649.7764,66,base_bogota_corregida,4024
Bogotá,Administración de Empresas,2012-2,II,Regular,Bogotá,,,Administración de Empresas,601.6602,69,base_bogota_corregida,4025
Bogotá,Administración de Empresas,2013-1,I,Regular,Bogotá,,,Administración de Empresas,632.317,69,base_bogota_corregida,4026
Bogotá,Administración de Empresas,2013-2,II,Regular,Bogotá,,,Administración de Empresas,647.0439,63,base_bogota_corregida,4027
Bogotá,Administración de Empresas,2014-1,I,Regular,Bogotá,,,Administración de Empresas,687.1057,63,base_bogota_corregida,4028
Bogotá,Administración de Empresas,2014-2,II,Regular,Bogotá,,,Administración de Empresas,643.9763,73,base_bogota_corregida,4029
Bogotá,Administración de Empresas,2015-1,I,Regular,Bogotá,,,Administración de Empresas,662.9327,73,base_bogota_corregida,4030
Bogotá,Administración de Empresas,2015-2,II,Regular,Bogotá,,,Administración de Empresas,645.4196,88,base_bogota_corregida,4031
Bogotá,Administración de Empresas,2016-1,I,Regular,Bogotá,,,Administración de Empresas,665.7784,71,base_bogota_corregida,4032
Bogotá,Administración de Empresas,2016-2,II,Regular,Bogotá,,,Administración de Empresas,632.2508,75,base_bogota_corregida,4033
Bogotá,Administración de Empresas,2017-1,I,Regular,Bogotá,,,Administración de Empresas,673.0349,75,base_bogota_corregida,4034
Bogotá,Administración de Empresas,2017-2,II,Regular,Bogotá,,,Administración de Empresas,633.64,110,base_bogota_corregida,4035
Bogotá,Administración de Empresas,2018-1,I,Regular,Bogotá,,,Administración de Empresas,650.0314,120,base_bogota_corregida,4036
Bogotá,Administración de Empresas,2018-2,II,Regular,Bogotá,,,Administración de Empresas,626.6614,120,base_bogota_corregida,4037
Bogotá,Administración de Empresas,2019-1,I,Regular,Bogotá,,,Administración de Empresas,652.3063,120,base_bogota_corregida,4038
Bogotá,Administración de Empresas,2019-2,II,Regular,Bogotá,,,Administración de Empresas,624.1718,109,base_bogota_corregida,4039
Bogotá,Administración de Empresas,2020-1,I,Regular,Bogotá,,,Administracién de Empresas,653.3345,70,201_regulares_y_MBP_Bogota.pdf,4040
Bogotá,Administración de Empresas,2020-2,II,Regular,Bogotá,,,Administracién de Empresas,599.2308,65,202_regulares_y_MBP_Bogota_1_.pdf,4041
Bogotá,Administración de Empresas,2021-1,I,Regular,Bogotá,,,Administracién de Empresas,617.7782,66,211_regulares_y_MBP_BOGOTA.pdf,4042
Bogotá,Administración de Empresas,2021-2,II,Regular,Bogotá,,,Administracion de Empresas,574.3797,65,212_regulares_y_MBP-Bogota.pdf,4043
Bogotá,Administración de Empresas,2022-1,I,Regular,Bogotá,,,Administracion de Empresas,590.874,110,22-1_regulares_y_MBP_BOGOTA.pdf,4044
Bogotá,Administración de Empresas,2022-2,II,Regular,Bogotá,,,Administracion de Empresas,537.5114,113,22-2_regulares_y_MBP_BOGOTA.pdf,4045
Bogotá,Administración de Empresas,2023-1,I,Regular,Bogotá,,,Administracién de Empresas,592.7347,107,23-1_regulares_y_MBP_BOGOTA.pdf,4046
Bogotá,Administración de Empresas,2023-2,II,Regular,Bogotá,,,Administraci6n de Empresas,561.4088,107,23-2_regulares_y_MBP_BOGOTA.pdf,4047
Bogotá,Administración de Empresas,2024-1,I,Regular,Bogotá,,,Administracion de Empresas,592.906,97,24-1_regulares_y_MBP_BOGOTA.pdf,4048
Bogotá,Administración de Empresas,2024-2,II,Regular,Bogotá,,,Administracion de Empresas,599.4926,63,24-2_regulares_y_MBP_BOGOTA.pdf,4049
Bogotá,Administración de Empresas,2025-1,I,Regular,Bogotá,,,Administracién de Empresas,618.6088,68,2025-1_regulares_y_MBP_BOGOTA.pdf,4050
Bogotá,Administración de Empresas,2025-2,II,Regular,Bogotá,,,Administracion de Empresas,560.6548,85,regulares_y_MBP_BOGOTA.pdf,4051
Bogotá,Administración de Empresas,2026-1,I,Regular,Bogotá,,,Administracion de Empresas,606.8803,66,26-1_regulares_y_MBP_BOGOTA.pdf,4052
Bogotá,Antropología,2007-1,I,Regular,Bogotá,,,Antropología,700.0,52,base_bogota_corregida,4014
Bogotá,Antropología,2007-2,II,Regular,Bogotá,,,Antropología,633.0,52,base_bogota_corregida,4015
Bogotá,Antropología,2008-1,I,Regular,Bogotá,,,Antropología,634.0,55,base_bogota_corregida,4016
Bogotá,Antropología,2008-2,II,Regular,Bogotá,,,Antropología,643.3301,50,base_bogota_corregida,4017
Bogotá,Antropología,2009-1,I,Regular,Bogotá,,,Antropología,650.65,60,base_bogota_corregida,4018
Bogotá,Antropología,2009-2,II,Regular,Bogotá,,,Antropología,650.2777,55,base_bogota_corregida,4019
Bogotá,Antropología,2010-1,I,Regular,Bogotá,,,Antropología,675.0034,62,base_bogota_corregida,4020
Bogotá,Antropología,2010-2,II,Regular,Bogotá,,,Antropología,623.1213,67,base_bogota_corregida,4021
Bogotá,Antropología,2011-1,I,Regular,Bogotá,,,Antropología,629.4559,65,base_bogota_corregida,4022
Bogotá,Antropología,2011-2,II,Regular,Bogotá,,,Antropología,657.1018,47,base_bogota_corregida,4023
Bogotá,Antropología,2012-1,I,Regular,Bogotá,,,Antropología,664.9057,47,base_bogota_corregida,4024
Bogotá,Antropología,2012-2,II,Regular,Bogotá,,,Antropología,637.2579,55,base_bogota_corregida,4025
Bogotá,Antropología,2013-1,I,Regular,Bogotá,,,Antropología,656.4933,44,base_bogota_corregida,4026
Bogotá,Antropología,2013-2,II,Regular,Bogotá,,,Antropología,651.261,41,base_bogota_corregida,4027
Bogotá,Antropología,2014-1,I,Regular,Bogotá,,,Antropología,673.54,42,base_bogota_corregida,4028
Bogotá,Antropología,2014-2,II,Regular,Bogotá,,,Antropología,650.6982,45,base_bogota_corregida,4029
Bogotá,Antropología,2015-1,I,Regular,Bogotá,,,Antropología,667.5091,45,base_bogota_corregida,4030
Bogotá,Antropología,2015-2,II,Regular,Bogotá,,,Antropología,646.157,45,base_bogota_corregida,4031
Bogotá,Antropología,2016-1,I,Regular,Bogotá,,,Antropología,651.5817,45,base_bogota_corregida,4032
Bogotá,Antropología,2016-2,II,Regular,Bogotá,,,Antropología,646.0968,45,base_bogota_corregida,4033
Bogotá,Antropología,2017-1,I,Regular,Bogotá,,,Antropología,653.9431,45,base_bogota_corregida,4034
